added_loads_and_stores,benchmark,config,dram_avg_bus_lat,dram_avg_mem_acc_lat,dram_avg_q_lat,dram_avg_rd_bw,dram_avg_wr_bw,dram_bw_read_total,dram_bw_total,dram_bw_write_total,dram_peak_bw,ipc,l1d_avg_blocked_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_blocked_cycles_no_mshrs,l1d_demand_accesses,l1d_demand_avg_miss_latency,l1d_demand_avg_mshr_miss_latency,l1d_demand_miss_latency,l1d_demand_misses,l1d_demand_mshr_hits,l1d_demand_mshr_miss_rate,l1d_demand_mshr_misses,l1d_pf_buffer_hit,l1d_pf_hit_in_cache,l1d_pf_hit_in_mshr,l1d_pf_hit_in_wb,l1d_pf_identified,l1d_pf_in_cache,l1d_pf_issued,l1d_pf_late,l1d_pf_removed_demand,l1d_pf_removed_full,l1d_pf_span_page,l1d_pf_unused,l1d_pf_useful,l1d_pf_useful_span_page,l1d_prefetcher_accuracy,l1d_prefetcher_coverage,l1d_prefetcher_read_accesses,l1d_prefetcher_read_avg_lat,l1d_prefetcher_read_bytes,l1d_prefetcher_read_rate,l2_avg_blocked_no_mshrs,l2_blocked_causes_no_mshrs,l2_blocked_cycles_no_mshrs,l2_demand_accesses,l2_demand_avg_miss_latency,l2_demand_avg_mshr_miss_latency,l2_demand_miss_latency,l2_demand_misses,l2_demand_mshr_hits,l2_demand_mshr_miss_rate,l2_demand_mshr_misses,l2_pf_buffer_hit,l2_pf_hit_in_cache,l2_pf_hit_in_mshr,l2_pf_hit_in_wb,l2_pf_identified,l2_pf_in_cache,l2_pf_issued,l2_pf_late,l2_pf_removed_demand,l2_pf_removed_full,l2_pf_span_page,l2_pf_unused,l2_pf_useful,l2_pf_useful_span_page,l2_prefetcher_accuracy,l2_prefetcher_coverage,l2_prefetcher_read_accesses,l2_prefetcher_read_avg_lat,l2_prefetcher_read_bytes,l2_prefetcher_read_rate,load_to_use_max,load_to_use_mean,load_to_use_min,load_to_use_overflows,load_to_use_samples,load_to_use_stdev,mem_avg_rdq_len,mem_avg_read_bw_sys,mem_avg_write_bw_sys,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,memory,numCycles,pf_level,prefetcher,run,simInsts,simOps,simSeconds,simTicks,stage,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,pf_coverage,pf_late,pf_late_ratio,pf_removed_full,pf_removed_demand,pf_buffer_hit,pf_identified,pf_removed_full_ratio,pf_removed_demand_ratio,pf_buffer_hit_ratio,prefetcher_read_rate,prefetcher_read_bytes,dram_bw_utilization,label
4862035.0,spmv,s32_sth8_pt8,3332.0,52209.29,34717.29,6091.122668,17.159027,6091165512.0,6108988621.0,17823110.0,19207.0,0.629956,7.378401,6028.0,44477.0,4827549.0,18872.323517,17463.944857,42620217453.0,2258345.0,571490.0,0.349423,1686855.0,,,,,,,,,,,,,,,,,,,,,23.719795,15974.0,378900.0,1687040.0,64215.531518,63982.816062,22050971368.0,343390.0,1085.0,0.202903,342305.0,9300.0,133526.0,2271.0,8.0,381916.0,0.0,362184.0,135805.0,238.0,3573.0,10596900.0,16822.0,208415.0,0.0,0.57544,0.378441,226357.0,75489.07,14486848.0,2424510582.731124,1936.0,28.651945,2.0,41400.0,4767008.0,72.62592,6.87,6091176222.647705,17823109.5555454,57.28,0.0,0.0,ddr4_1x,17943435.0,l2,imp,spmv_imp3_s32_sth8_pt8_l2_ddr4_1x,11279576.0,11329125.0,0.005975,5975163855.0,stage3,0.010599,1.7738912133891214,362184.0,208415.0,16822.0,0.5754395555850065,0.046446005345349324,0.4678036411437771,0.20354585546282244,0.3776968313081614,135805.0,0.3749613456143838,3573.0,238.0,9300.0,381916.0,0.009355460363011762,0.0006231736821709486,0.02435090438735219,2424510582.731124,14486848.0,0.3033261595806599,stage3: s32_sth8_pt8
4861970.0,spmv,s32_sth2_pt8,3332.0,52204.75,34712.75,6091.514921,17.158684,6091557764.0,6109380517.0,17822753.0,19207.0,0.629943,7.563627,6098.0,46123.0,4827528.0,18863.884817,17468.390741,42600424266.0,2258306.0,571458.0,0.349423,1686848.0,,,,,,,,,,,,,,,,,,,,,24.082643,15936.0,383781.0,1687033.0,64205.562764,63971.390012,22051272120.0,343448.0,1082.0,0.20294,342366.0,9366.0,133627.0,2288.0,10.0,382301.0,0.0,362291.0,135925.0,241.0,3794.0,10599331.0,16873.0,208368.0,0.0,0.57514,0.378346,226341.0,75501.66,14485824.0,2424290703.1240425,1936.0,28.639881,2.0,41358.0,4767008.0,72.441296,6.86,6091568474.86378,17822752.97006908,57.33,0.0,0.0,ddr4_1x,17943794.0,l2,imp,spmv_imp3_s32_sth2_pt8_l2_ddr4_1x,11279576.0,11329125.0,0.005975,5975283402.0,stage3,0.010599,1.7738912133891214,362291.0,208368.0,16873.0,0.5751398737478988,0.046573058673828494,0.4677975974453178,0.20358107991959848,0.3776041289125361,135925.0,0.3751818289717382,3794.0,241.0,9366.0,382301.0,0.009924117383946158,0.0006303933288168223,0.02449902040538738,2424290703.1240425,14485824.0,0.3033456181712728,stage3: s32_sth2_pt8
4861970.0,spmv,s32_sth2_dist32_ipd16,3332.0,52204.75,34712.75,6091.514921,17.158684,6091557764.0,6109380517.0,17822753.0,19207.0,0.629943,7.563627,6098.0,46123.0,4827528.0,18863.884817,17468.390741,42600424266.0,2258306.0,571458.0,0.349423,1686848.0,,,,,,,,,,,,,,,,,,,,,24.082643,15936.0,383781.0,1687033.0,64205.562764,63971.390012,22051272120.0,343448.0,1082.0,0.20294,342366.0,9366.0,133627.0,2288.0,10.0,382301.0,0.0,362291.0,135925.0,241.0,3794.0,10599331.0,16873.0,208368.0,0.0,0.57514,0.378346,226341.0,75501.66,14485824.0,2424290703.1240425,1936.0,28.639881,2.0,41358.0,4767008.0,72.441296,6.86,6091568474.86378,17822752.97006908,57.33,0.0,0.0,ddr4_1x,17943794.0,l2,imp,spmv_imp3_s32_sth2_dist32_ipd16_l2_ddr4_1x,11279576.0,11329125.0,0.005975,5975283402.0,stage3,0.010599,1.7738912133891214,362291.0,208368.0,16873.0,0.5751398737478988,0.046573058673828494,0.4677975974453178,0.20358107991959848,0.3776041289125361,135925.0,0.3751818289717382,3794.0,241.0,9366.0,382301.0,0.009924117383946158,0.0006303933288168223,0.02449902040538738,2424290703.1240425,14485824.0,0.3033456181712728,stage3: s32_sth2_dist32_ipd16
4862035.0,spmv,s32_sth8,3332.0,52209.29,34717.29,6091.122668,17.159027,6091165512.0,6108988621.0,17823110.0,19207.0,0.629956,7.378401,6028.0,44477.0,4827549.0,18872.323517,17463.944857,42620217453.0,2258345.0,571490.0,0.349423,1686855.0,,,,,,,,,,,,,,,,,,,,,23.719795,15974.0,378900.0,1687040.0,64215.531518,63982.816062,22050971368.0,343390.0,1085.0,0.202903,342305.0,9300.0,133526.0,2271.0,8.0,381916.0,0.0,362184.0,135805.0,238.0,3573.0,10596900.0,16822.0,208415.0,0.0,0.57544,0.378441,226357.0,75489.07,14486848.0,2424510582.731124,1936.0,28.651945,2.0,41400.0,4767008.0,72.62592,6.87,6091176222.647705,17823109.5555454,57.28,0.0,0.0,ddr4_1x,17943435.0,l2,imp,spmv_imp3_s32_sth8_l2_ddr4_1x,11279576.0,11329125.0,0.005975,5975163855.0,stage3,0.010599,1.7738912133891214,362184.0,208415.0,16822.0,0.5754395555850065,0.046446005345349324,0.4678036411437771,0.20354585546282244,0.3776968313081614,135805.0,0.3749613456143838,3573.0,238.0,9300.0,381916.0,0.009355460363011762,0.0006231736821709486,0.02435090438735219,2424510582.731124,14486848.0,0.3033261595806599,stage3: s32_sth8
4861970.0,spmv,s32_sth2,3332.0,52204.75,34712.75,6091.514921,17.158684,6091557764.0,6109380517.0,17822753.0,19207.0,0.629943,7.563627,6098.0,46123.0,4827528.0,18863.884817,17468.390741,42600424266.0,2258306.0,571458.0,0.349423,1686848.0,,,,,,,,,,,,,,,,,,,,,24.082643,15936.0,383781.0,1687033.0,64205.562764,63971.390012,22051272120.0,343448.0,1082.0,0.20294,342366.0,9366.0,133627.0,2288.0,10.0,382301.0,0.0,362291.0,135925.0,241.0,3794.0,10599331.0,16873.0,208368.0,0.0,0.57514,0.378346,226341.0,75501.66,14485824.0,2424290703.1240425,1936.0,28.639881,2.0,41358.0,4767008.0,72.441296,6.86,6091568474.86378,17822752.97006908,57.33,0.0,0.0,ddr4_1x,17943794.0,l2,imp,spmv_imp3_s32_sth2_l2_ddr4_1x,11279576.0,11329125.0,0.005975,5975283402.0,stage3,0.010599,1.7738912133891214,362291.0,208368.0,16873.0,0.5751398737478988,0.046573058673828494,0.4677975974453178,0.20358107991959848,0.3776041289125361,135925.0,0.3751818289717382,3794.0,241.0,9366.0,382301.0,0.009924117383946158,0.0006303933288168223,0.02449902040538738,2424290703.1240425,14485824.0,0.3033456181712728,stage3: s32_sth2
4862143.0,spmv,s16_sth8,3332.0,47100.3,29608.3,5775.629327,16.667572,5775670711.0,5792886627.0,17215916.0,19207.0,0.608495,5.524844,11190.0,61823.0,4827670.0,22804.179766,17800.524621,54458205615.0,2388080.0,701297.0,0.349399,1686783.0,,,,,,,,,,,,,,,,,,,,,30.518211,3130.0,95522.0,1686968.0,64663.0936,64564.022356,22885044782.0,353912.0,2243.0,0.208462,351669.0,627.0,140141.0,19922.0,3.0,371522.0,0.0,366644.0,160066.0,156.0,832.0,5286174.0,12517.0,191774.0,0.0,0.523052,0.352887,206555.0,63614.81,13219520.0,2137039340.596908,1795.0,36.041172,2.0,81832.0,4767008.0,84.545359,6.51,5775681057.201241,17215915.67743824,57.29,0.0,0.0,ddr4_1x,18576288.0,l2,imp,spmv_imp_stage2_s16_sth8_l2_ddr4_1x,11279576.0,11329125.0,0.006186,6185903904.0,stage2,0.010599,1.7133850630455871,366644.0,191774.0,12517.0,0.5230523341442925,0.03413938316186819,0.4946651283124157,0.20979176842714267,0.3514365404280117,160066.0,0.4365706243658699,832.0,156.0,627.0,371522.0,0.0022394366955388913,0.0004198943804135421,0.0016876524135851982,2137039340.596908,13219520.0,0.28763092591363215,stage2: s16_sth8
4862143.0,spmv,s16_pt8_sth8,3332.0,47100.3,29608.3,5775.629327,16.667572,5775670711.0,5792886627.0,17215916.0,19207.0,0.608495,5.524844,11190.0,61823.0,4827670.0,22804.179766,17800.524621,54458205615.0,2388080.0,701297.0,0.349399,1686783.0,,,,,,,,,,,,,,,,,,,,,30.518211,3130.0,95522.0,1686968.0,64663.0936,64564.022356,22885044782.0,353912.0,2243.0,0.208462,351669.0,627.0,140141.0,19922.0,3.0,371522.0,0.0,366644.0,160066.0,156.0,832.0,5286174.0,12517.0,191774.0,0.0,0.523052,0.352887,206555.0,63614.81,13219520.0,2137039340.596908,1795.0,36.041172,2.0,81832.0,4767008.0,84.545359,6.51,5775681057.201241,17215915.67743824,57.29,0.0,0.0,ddr4_1x,18576288.0,l2,imp,spmv_imp_stage2_s16_pt8_sth8_l2_ddr4_1x,11279576.0,11329125.0,0.006186,6185903904.0,stage2,0.010599,1.7133850630455871,366644.0,191774.0,12517.0,0.5230523341442925,0.03413938316186819,0.4946651283124157,0.20979176842714267,0.3514365404280117,160066.0,0.4365706243658699,832.0,156.0,627.0,371522.0,0.0022394366955388913,0.0004198943804135421,0.0016876524135851982,2137039340.596908,13219520.0,0.28763092591363215,stage2: s16_pt8_sth8
4862034.0,spmv,s16_pt8_sth2,3332.0,47161.4,29669.4,5775.13787,16.553187,5775179253.0,5792394567.0,17215314.0,19207.0,0.608473,5.375112,11178.0,60083.0,4827676.0,22835.887888,17775.970989,54527190561.0,2387785.0,701030.0,0.349393,1686755.0,,,,,,,,,,,,,,,,,,,,,28.99,3200.0,92768.0,1686940.0,64573.476219,64473.819631,22850938897.0,353875.0,2213.0,0.208461,351662.0,669.0,140202.0,19781.0,5.0,371459.0,0.0,366545.0,159988.0,162.0,807.0,5286125.0,12501.0,191810.0,0.0,0.523292,0.352934,206533.0,63935.54,13218112.0,2136737075.1179287,1825.0,36.08112,2.0,81407.0,4767008.0,84.97926,6.52,5775189598.4431305,17215314.22579556,57.28,0.0,0.0,ddr4_1x,18576937.0,l2,imp,spmv_imp_stage2_s16_pt8_sth2_l2_ddr4_1x,11279576.0,11329125.0,0.006186,6186120021.0,stage2,0.010599,1.7133850630455871,366545.0,191810.0,12501.0,0.523291819558308,0.03410495300713418,0.4946034075194773,0.20977331736754123,0.35150315658301035,159988.0,0.43647573967725656,807.0,162.0,669.0,371459.0,0.0021725143286338467,0.0004361181180157164,0.001801006302176014,2136737075.1179287,13218112.0,0.28760649393653365,stage2: s16_pt8_sth2
4862080.0,spmv,aggr_s16_sth2_d32_ipd16,3332.0,47022.32,29530.32,5774.210946,16.633819,5774252324.0,5791465430.0,17213106.0,19207.0,0.608395,5.408361,11147.0,60287.0,4827653.0,22814.792243,17799.541643,54480993804.0,2387968.0,701189.0,0.349399,1686779.0,,,,,,,,,,,,,,,,,,,,,28.555556,3222.0,92006.0,1686964.0,64676.049586,64577.777817,22887107695.0,353873.0,2222.0,0.208452,351651.0,661.0,140151.0,19742.0,8.0,371347.0,0.0,366451.0,159901.0,160.0,798.0,5286205.0,12499.0,191796.0,0.0,0.523388,0.352925,206526.0,63382.84,13217664.0,2136390604.4292624,1779.0,36.053286,2.0,81516.0,4767008.0,84.722352,6.5,5774262668.056413,17213106.1743814,57.3,0.0,0.0,ddr4_1x,18579320.0,l2,imp,spmv_imp_stage2_aggr_s16_sth2_d32_ipd16_l2_ddr4_1x,11279576.0,11329125.0,0.006187,6186913560.0,stage2,0.010599,1.7131081299498951,366451.0,191796.0,12499.0,0.5233878472155895,0.03410824366695684,0.4946436705372155,0.2097691474151197,0.3514878067106616,159901.0,0.43635028967037887,798.0,160.0,661.0,371347.0,0.0021489334773136717,0.0004308638551004855,0.001780006301383881,2136390604.4292624,13217664.0,0.2875603600221627,stage2: aggr_s16_sth2_d32_ipd16
4862080.0,spmv,aggr_s16_sth2_d32_ipd16_addr16,3332.0,47022.32,29530.32,5774.210946,16.633819,5774252324.0,5791465430.0,17213106.0,19207.0,0.608395,5.408361,11147.0,60287.0,4827653.0,22814.792243,17799.541643,54480993804.0,2387968.0,701189.0,0.349399,1686779.0,,,,,,,,,,,,,,,,,,,,,28.555556,3222.0,92006.0,1686964.0,64676.049586,64577.777817,22887107695.0,353873.0,2222.0,0.208452,351651.0,661.0,140151.0,19742.0,8.0,371347.0,0.0,366451.0,159901.0,160.0,798.0,5286205.0,12499.0,191796.0,0.0,0.523388,0.352925,206526.0,63382.84,13217664.0,2136390604.4292624,1779.0,36.053286,2.0,81516.0,4767008.0,84.722352,6.5,5774262668.056413,17213106.1743814,57.3,0.0,0.0,ddr4_1x,18579320.0,l2,imp,spmv_imp_stage2_aggr_s16_sth2_d32_ipd16_addr16_l2_ddr4_1x,11279576.0,11329125.0,0.006187,6186913560.0,stage2,0.010599,1.7131081299498951,366451.0,191796.0,12499.0,0.5233878472155895,0.03410824366695684,0.4946436705372155,0.2097691474151197,0.3514878067106616,159901.0,0.43635028967037887,798.0,160.0,661.0,371347.0,0.0021489334773136717,0.0004308638551004855,0.001780006301383881,2136390604.4292624,13217664.0,0.2875603600221627,stage2: aggr_s16_sth2_d32_ipd16_addr16
4862080.0,spmv,s16_sth2,3332.0,47022.32,29530.32,5774.210946,16.633819,5774252324.0,5791465430.0,17213106.0,19207.0,0.608395,5.408361,11147.0,60287.0,4827653.0,22814.792243,17799.541643,54480993804.0,2387968.0,701189.0,0.349399,1686779.0,,,,,,,,,,,,,,,,,,,,,28.555556,3222.0,92006.0,1686964.0,64676.049586,64577.777817,22887107695.0,353873.0,2222.0,0.208452,351651.0,661.0,140151.0,19742.0,8.0,371347.0,0.0,366451.0,159901.0,160.0,798.0,5286205.0,12499.0,191796.0,0.0,0.523388,0.352925,206526.0,63382.84,13217664.0,2136390604.4292624,1779.0,36.053286,2.0,81516.0,4767008.0,84.722352,6.5,5774262668.056413,17213106.1743814,57.3,0.0,0.0,ddr4_1x,18579320.0,l2,imp,spmv_imp_stage2_s16_sth2_l2_ddr4_1x,11279576.0,11329125.0,0.006187,6186913560.0,stage2,0.010599,1.7131081299498951,366451.0,191796.0,12499.0,0.5233878472155895,0.03410824366695684,0.4946436705372155,0.2097691474151197,0.3514878067106616,159901.0,0.43635028967037887,798.0,160.0,661.0,371347.0,0.0021489334773136717,0.0004308638551004855,0.001780006301383881,2136390604.4292624,13217664.0,0.2875603600221627,stage2: s16_sth2
4862094.0,spmv,s16_dist32_addr16,3332.0,47179.99,29687.99,5774.68701,16.691461,5774728377.0,5791936922.0,17208545.0,19207.0,0.608234,5.384,11250.0,60570.0,4827631.0,22866.4023,17800.615528,54605654685.0,2388030.0,701281.0,0.349395,1686749.0,,,,,,,,,,,,,,,,,,,,,30.920465,3181.0,98358.0,1686934.0,64638.050143,64531.130622,22883421064.0,354024.0,2208.0,0.208554,351816.0,601.0,140108.0,19637.0,4.0,371274.0,0.0,366328.0,159749.0,155.0,914.0,5288534.0,12568.0,191760.0,0.0,0.523465,0.352775,206553.0,63894.29,13219392.0,2136103665.9748013,1884.0,36.1319,2.0,81887.0,4767008.0,85.237215,6.52,5774738718.692051,17208544.53908716,57.43,0.0,0.0,ddr4_1x,18584245.0,l2,imp,spmv_imp_stage2_s16_dist32_addr16_l2_ddr4_1x,11279576.0,11329125.0,0.006189,6188553585.0,stage2,0.010599,1.7125545322346098,366328.0,191760.0,12568.0,0.5234653097770304,0.03430805180057216,0.4946587674161509,0.20986238939994095,0.3513477859372939,159749.0,0.43608187198357756,914.0,155.0,601.0,371274.0,0.0024617937156924535,0.0004174814288099894,0.0016187505723535718,2136103665.9748013,13219392.0,0.2875837707479809,stage2: s16_dist32_addr16
4862094.0,spmv,s16_dist8_addr16,3332.0,47179.99,29687.99,5774.68701,16.691461,5774728377.0,5791936922.0,17208545.0,19207.0,0.608234,5.384,11250.0,60570.0,4827631.0,22866.4023,17800.615528,54605654685.0,2388030.0,701281.0,0.349395,1686749.0,,,,,,,,,,,,,,,,,,,,,30.920465,3181.0,98358.0,1686934.0,64638.050143,64531.130622,22883421064.0,354024.0,2208.0,0.208554,351816.0,601.0,140108.0,19637.0,4.0,371274.0,0.0,366328.0,159749.0,155.0,914.0,5288534.0,12568.0,191760.0,0.0,0.523465,0.352775,206553.0,63894.29,13219392.0,2136103665.9748013,1884.0,36.1319,2.0,81887.0,4767008.0,85.237215,6.52,5774738718.692051,17208544.53908716,57.43,0.0,0.0,ddr4_1x,18584245.0,l2,imp,spmv_imp_stage2_s16_dist8_addr16_l2_ddr4_1x,11279576.0,11329125.0,0.006189,6188553585.0,stage2,0.010599,1.7125545322346098,366328.0,191760.0,12568.0,0.5234653097770304,0.03430805180057216,0.4946587674161509,0.20986238939994095,0.3513477859372939,159749.0,0.43608187198357756,914.0,155.0,601.0,371274.0,0.0024617937156924535,0.0004174814288099894,0.0016187505723535718,2136103665.9748013,13219392.0,0.2875837707479809,stage2: s16_dist8_addr16
4862094.0,spmv,s16_ipd16_pt32,3332.0,47179.99,29687.99,5774.68701,16.691461,5774728377.0,5791936922.0,17208545.0,19207.0,0.608234,5.384,11250.0,60570.0,4827631.0,22866.4023,17800.615528,54605654685.0,2388030.0,701281.0,0.349395,1686749.0,,,,,,,,,,,,,,,,,,,,,30.920465,3181.0,98358.0,1686934.0,64638.050143,64531.130622,22883421064.0,354024.0,2208.0,0.208554,351816.0,601.0,140108.0,19637.0,4.0,371274.0,0.0,366328.0,159749.0,155.0,914.0,5288534.0,12568.0,191760.0,0.0,0.523465,0.352775,206553.0,63894.29,13219392.0,2136103665.9748013,1884.0,36.1319,2.0,81887.0,4767008.0,85.237215,6.52,5774738718.692051,17208544.53908716,57.43,0.0,0.0,ddr4_1x,18584245.0,l2,imp,spmv_imp_stage2_s16_ipd16_pt32_l2_ddr4_1x,11279576.0,11329125.0,0.006189,6188553585.0,stage2,0.010599,1.7125545322346098,366328.0,191760.0,12568.0,0.5234653097770304,0.03430805180057216,0.4946587674161509,0.20986238939994095,0.3513477859372939,159749.0,0.43608187198357756,914.0,155.0,601.0,371274.0,0.0024617937156924535,0.0004174814288099894,0.0016187505723535718,2136103665.9748013,13219392.0,0.2875837707479809,stage2: s16_ipd16_pt32
4862094.0,spmv,s16,3332.0,47179.99,29687.99,5774.68701,16.691461,5774728377.0,5791936922.0,17208545.0,19207.0,0.608234,5.384,11250.0,60570.0,4827631.0,22866.4023,17800.615528,54605654685.0,2388030.0,701281.0,0.349395,1686749.0,,,,,,,,,,,,,,,,,,,,,30.920465,3181.0,98358.0,1686934.0,64638.050143,64531.130622,22883421064.0,354024.0,2208.0,0.208554,351816.0,601.0,140108.0,19637.0,4.0,371274.0,0.0,366328.0,159749.0,155.0,914.0,5288534.0,12568.0,191760.0,0.0,0.523465,0.352775,206553.0,63894.29,13219392.0,2136103665.9748013,1884.0,36.1319,2.0,81887.0,4767008.0,85.237215,6.52,5774738718.692051,17208544.53908716,57.43,0.0,0.0,ddr4_1x,18584245.0,l2,imp,spmv_imp_stage2_s16_l2_ddr4_1x,11279576.0,11329125.0,0.006189,6188553585.0,stage2,0.010599,1.7125545322346098,366328.0,191760.0,12568.0,0.5234653097770304,0.03430805180057216,0.4946587674161509,0.20986238939994095,0.3513477859372939,159749.0,0.43608187198357756,914.0,155.0,601.0,371274.0,0.0024617937156924535,0.0004174814288099894,0.0016187505723535718,2136103665.9748013,13219392.0,0.2875837707479809,stage2: s16
4862094.0,spmv,s16_ipd16_addr16,3332.0,47179.99,29687.99,5774.68701,16.691461,5774728377.0,5791936922.0,17208545.0,19207.0,0.608234,5.384,11250.0,60570.0,4827631.0,22866.4023,17800.615528,54605654685.0,2388030.0,701281.0,0.349395,1686749.0,,,,,,,,,,,,,,,,,,,,,30.920465,3181.0,98358.0,1686934.0,64638.050143,64531.130622,22883421064.0,354024.0,2208.0,0.208554,351816.0,601.0,140108.0,19637.0,4.0,371274.0,0.0,366328.0,159749.0,155.0,914.0,5288534.0,12568.0,191760.0,0.0,0.523465,0.352775,206553.0,63894.29,13219392.0,2136103665.9748013,1884.0,36.1319,2.0,81887.0,4767008.0,85.237215,6.52,5774738718.692051,17208544.53908716,57.43,0.0,0.0,ddr4_1x,18584245.0,l2,imp,spmv_imp_stage2_s16_ipd16_addr16_l2_ddr4_1x,11279576.0,11329125.0,0.006189,6188553585.0,stage2,0.010599,1.7125545322346098,366328.0,191760.0,12568.0,0.5234653097770304,0.03430805180057216,0.4946587674161509,0.20986238939994095,0.3513477859372939,159749.0,0.43608187198357756,914.0,155.0,601.0,371274.0,0.0024617937156924535,0.0004174814288099894,0.0016187505723535718,2136103665.9748013,13219392.0,0.2875837707479809,stage2: s16_ipd16_addr16
4862094.0,spmv,s16_ipd8_addr8,3332.0,47179.99,29687.99,5774.68701,16.691461,5774728377.0,5791936922.0,17208545.0,19207.0,0.608234,5.384,11250.0,60570.0,4827631.0,22866.4023,17800.615528,54605654685.0,2388030.0,701281.0,0.349395,1686749.0,,,,,,,,,,,,,,,,,,,,,30.920465,3181.0,98358.0,1686934.0,64638.050143,64531.130622,22883421064.0,354024.0,2208.0,0.208554,351816.0,601.0,140108.0,19637.0,4.0,371274.0,0.0,366328.0,159749.0,155.0,914.0,5288534.0,12568.0,191760.0,0.0,0.523465,0.352775,206553.0,63894.29,13219392.0,2136103665.9748013,1884.0,36.1319,2.0,81887.0,4767008.0,85.237215,6.52,5774738718.692051,17208544.53908716,57.43,0.0,0.0,ddr4_1x,18584245.0,l2,imp,spmv_imp_stage2_s16_ipd8_addr8_l2_ddr4_1x,11279576.0,11329125.0,0.006189,6188553585.0,stage2,0.010599,1.7125545322346098,366328.0,191760.0,12568.0,0.5234653097770304,0.03430805180057216,0.4946587674161509,0.20986238939994095,0.3513477859372939,159749.0,0.43608187198357756,914.0,155.0,601.0,371274.0,0.0024617937156924535,0.0004174814288099894,0.0016187505723535718,2136103665.9748013,13219392.0,0.2875837707479809,stage2: s16_ipd8_addr8
4862094.0,spmv,sdist16,3332.0,47179.99,29687.99,5774.68701,16.691461,5774728377.0,5791936922.0,17208545.0,19207.0,0.608234,5.384,11250.0,60570.0,4827631.0,22866.4023,17800.615528,54605654685.0,2388030.0,701281.0,0.349395,1686749.0,,,,,,,,,,,,,,,,,,,,,30.920465,3181.0,98358.0,1686934.0,64638.050143,64531.130622,22883421064.0,354024.0,2208.0,0.208554,351816.0,601.0,140108.0,19637.0,4.0,371274.0,0.0,366328.0,159749.0,155.0,914.0,5288534.0,12568.0,191760.0,0.0,0.523465,0.352775,206553.0,63894.29,13219392.0,2136103665.9748013,1884.0,36.1319,2.0,81887.0,4767008.0,85.237215,6.52,5774738718.692051,17208544.53908716,57.43,0.0,0.0,ddr4_1x,18584245.0,l2,imp,spmv_imp_sdist16_l2_ddr4_1x,11279576.0,11329125.0,0.006189,6188553585.0,stage1,0.010599,1.7125545322346098,366328.0,191760.0,12568.0,0.5234653097770304,0.03430805180057216,0.4946587674161509,0.20986238939994095,0.3513477859372939,159749.0,0.43608187198357756,914.0,155.0,601.0,371274.0,0.0024617937156924535,0.0004174814288099894,0.0016187505723535718,2136103665.9748013,13219392.0,0.2875837707479809,stage1: sdist16
4861576.0,spmv,s8_sth2,3332.0,42995.12,25503.12,5408.497294,15.809561,5408536744.0,5424947917.0,16411173.0,19207.0,0.580051,4.574238,23748.0,108629.0,4827333.0,26405.237845,18415.142791,67970752542.0,2574139.0,887405.0,0.349413,1686734.0,,,,,,,,,,,,,,,,,,,,,18.056146,659.0,11899.0,1686918.0,64240.465646,64138.580182,23590576516.0,367223.0,2322.0,0.216312,364901.0,277.0,141344.0,16678.0,5.0,343896.0,0.0,341521.0,158027.0,98.0,406.0,2591688.0,8215.0,172937.0,0.0,0.506373,0.321541,183478.0,54943.76,11742592.0,1809548782.7414424,1716.0,44.5115,2.0,87131.0,4767008.0,93.329351,6.02,5408546606.461135,16411172.86258712,57.29,0.0,0.0,ddr4_1x,19487200.0,l2,imp,spmv_imp_stage2_s8_sth2_l2_ddr4_1x,11279576.0,11329125.0,0.006489,6489237600.0,stage2,0.010599,1.6333795654184005,341521.0,172937.0,8215.0,0.506372960959941,0.024054157723829576,0.5332424757107082,0.21768870804627136,0.32015884182464455,158027.0,0.46271532350865685,406.0,98.0,277.0,343896.0,0.0011805894805406285,0.0002849698746132552,0.0008054760741619559,1809548782.7414424,11742592.0,0.26936187308192244,stage2: s8_sth2
